epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.677,0.39598,1.44439,1.07582,0.37532,1,0.69335,0.67594,0.32492,0.92827,0.72219,0.00040625,0.00040625,0.00040625
2,356.547,0.38628,1.2502,1.05222,0.32311,0.99375,0.47014,0.45533,0.28608,1.43073,0.69558,0.000782182,0.000782182,0.000782182
3,537.572,0.39957,1.23009,1.05596,0.45513,1,0.77743,0.7406,0.36353,1.05459,0.70825,0.00111686,0.00111686,0.00111686
4,741.607,0.40549,1.21356,1.0514,0.46492,1,0.68198,0.66658,0.30414,0.92807,0.72142,0.00106437,0.00106437,0.00106437
5,929.939,0.40744,1.17586,1.04304,0.33976,0.57447,0.39991,0.35901,0.65268,1.93985,1.04932,0.0010025,0.0010025,0.0010025
6,1114.86,0.40442,1.16132,1.04542,0.45151,1,0.71587,0.70178,0.2728,0.899,0.67222,0.000940625,0.000940625,0.000940625
