epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.349,0.3461,1.17342,1.02335,0.43077,0.99235,0.70479,0.69396,0.28565,0.89565,0.71149,0.00040625,0.00040625,0.00040625
2,358.744,0.35367,1.17571,1.02636,0.48431,1,0.6678,0.64818,0.35769,1.04107,0.72186,0.000782182,0.000782182,0.000782182
3,541.983,0.40468,1.19199,1.04662,0.45005,0.99634,0.65345,0.63607,0.38208,1.28355,0.73244,0.00111686,0.00111686,0.00111686
4,723.269,0.42413,1.16129,1.05026,0.43171,0.7375,0.43727,0.41348,0.37034,1.80953,0.82471,0.00106437,0.00106437,0.00106437
5,904.927,0.39167,1.12864,1.03039,0.66436,0.975,0.86288,0.83873,0.42032,0.83619,0.78863,0.0010025,0.0010025,0.0010025
6,1105.33,0.38876,1.10167,1.02358,0.5658,1,0.77803,0.75846,0.31134,0.93961,0.68977,0.000940625,0.000940625,0.000940625
7,1382.42,0.37031,1.07201,1.01107,0.58596,1,0.74908,0.73456,0.26763,0.76735,0.68023,0.00087875,0.00087875,0.00087875
8,1594.56,0.35749,1.03095,1.0181,0.48806,0.96875,0.79688,0.78453,0.27761,0.76033,0.69216,0.000816875,0.000816875,0.000816875
9,1775.1,0.35819,1.04349,1.02065,0.54516,1,0.86882,0.85187,0.27334,0.70293,0.69922,0.000755,0.000755,0.000755
10,1955.96,0.35176,0.97909,1.00187,0.66871,1,0.7583,0.74463,0.2734,0.61827,0.68951,0.000693125,0.000693125,0.000693125
11,2133.63,0.25177,0.72628,0.93281,0.74203,1,0.74625,0.72252,0.28945,0.69332,0.70215,0.00063125,0.00063125,0.00063125
12,2311.18,0.23,0.63366,0.91247,0.70843,0.99375,0.87193,0.84892,0.31591,0.77579,0.71291,0.000569375,0.000569375,0.000569375
13,2496.29,0.22754,0.59458,0.91771,0.74029,1,0.74625,0.73065,0.29092,0.6229,0.68142,0.0005075,0.0005075,0.0005075
14,2676.51,0.21055,0.56047,0.90067,0.74292,1,0.924,0.90643,0.27333,0.56954,0.68236,0.000445625,0.000445625,0.000445625
15,2857.99,0.20381,0.5186,0.89902,0.80361,1,0.87135,0.85709,0.27038,0.56156,0.6774,0.00038375,0.00038375,0.00038375
16,3058.3,0.19573,0.49276,0.88836,0.937,0.9833,0.995,0.97078,0.27756,0.4809,0.6956,0.000321875,0.000321875,0.000321875
17,3312.45,0.17621,0.48671,0.89011,0.86535,1,0.99104,0.96234,0.26853,0.49172,0.69004,0.00026,0.00026,0.00026
18,3540.09,0.1697,0.42584,0.89384,0.98887,1,0.995,0.97007,0.26194,0.41178,0.69004,0.000198125,0.000198125,0.000198125
19,3717.68,0.16598,0.37421,0.88623,0.98938,1,0.995,0.96715,0.27348,0.37636,0.70116,0.00013625,0.00013625,0.00013625
20,3897.59,0.15966,0.33236,0.87858,0.98281,1,0.995,0.97156,0.24851,0.35071,0.68247,7.4375e-05,7.4375e-05,7.4375e-05
