epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.24,0.40724,2.68959,1.07544,0.72346,0.98591,0.86845,0.83653,0.30482,1.44036,0.70086,0.000362927,0.000362927,0.000362927
2,456.774,0.35082,1.51649,0.99196,0.84413,0.95297,0.98218,0.96891,0.26627,1.08658,0.68351,0.000696964,0.000696964,0.000696964
3,682.076,0.34086,1.28948,0.98721,0.94812,0.9455,0.98714,0.9543,0.29904,0.89707,0.67377,0.000994338,0.000994338,0.000994338
4,972.791,0.34064,1.14681,0.9862,0.8185,0.955,0.97426,0.95288,0.29827,1.04007,0.6859,0.000946016,0.000946016,0.000946016
5,1231.65,0.33128,1.04688,0.9811,0.97194,0.975,0.99272,0.96663,0.27741,0.50843,0.63934,0.000891022,0.000891022,0.000891022
6,1508.15,0.33722,0.98993,0.97666,0.591,0.75682,0.73037,0.70349,0.32201,1.27622,0.69334,0.000836027,0.000836027,0.000836027
7,1844.11,0.31792,0.93404,0.97061,0.97492,0.98389,0.99405,0.97648,0.22928,0.4854,0.65321,0.000781033,0.000781033,0.000781033
8,2183.1,0.30426,0.90725,0.96379,0.99116,0.98659,0.995,0.97515,0.26164,0.41409,0.65809,0.000726038,0.000726038,0.000726038
9,2470.11,0.30082,0.82552,0.95644,0.88059,0.93889,0.9949,0.9774,0.23825,0.58304,0.64358,0.000671044,0.000671044,0.000671044
10,2810.74,0.29278,0.79864,0.95749,0.98591,0.98673,0.995,0.97643,0.2353,0.40897,0.6332,0.000616049,0.000616049,0.000616049
11,3132.6,0.19436,0.56391,0.89028,0.91237,0.94521,0.99472,0.97726,0.27799,0.50519,0.65851,0.000561055,0.000561055,0.000561055
12,3479.85,0.19223,0.44096,0.88432,0.88466,0.95821,0.96994,0.95398,0.28034,0.52657,0.62939,0.00050606,0.00050606,0.00050606
13,3806.85,0.1816,0.34548,0.88086,0.99773,1,0.995,0.97978,0.23933,0.35476,0.63087,0.000451066,0.000451066,0.000451066
14,4089.87,0.15623,0.31095,0.87626,0.99832,1,0.995,0.97689,0.2377,0.33464,0.62871,0.000396071,0.000396071,0.000396071
15,4373.95,0.15493,0.28244,0.88001,0.99816,1,0.995,0.97957,0.22246,0.28998,0.62321,0.000341077,0.000341077,0.000341077
16,4657.21,0.14457,0.2522,0.87523,0.99812,1,0.995,0.98001,0.22367,0.2854,0.64548,0.000286083,0.000286083,0.000286083
17,4884.26,0.13793,0.23548,0.87968,0.99818,1,0.995,0.97798,0.23477,0.29772,0.63002,0.000231088,0.000231088,0.000231088
18,5168.43,0.13452,0.2197,0.87241,0.99839,1,0.995,0.97999,0.21197,0.27834,0.62382,0.000176094,0.000176094,0.000176094
19,5492.58,0.13324,0.2165,0.87259,0.99844,1,0.995,0.98049,0.21751,0.271,0.62239,0.000121099,0.000121099,0.000121099
20,5811.52,0.12703,0.20089,0.8647,0.99847,1,0.995,0.98197,0.22269,0.26828,0.62732,6.61045e-05,6.61045e-05,6.61045e-05
