epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,119.172,0.28472,0.36479,1.02989,0.9487,1,0.995,0.89831,0.49375,0.55545,0.9488,0.000880023,0.000880023,0.000880023
23,124.448,0.28588,0.36145,1.0074,0.95755,1,0.995,0.92277,0.48126,0.55541,0.95187,0.000869024,0.000869024,0.000869024
24,129.757,0.26538,0.34113,0.99786,0.9116,0.97242,0.995,0.95428,0.43194,0.56448,0.86393,0.000858025,0.000858025,0.000858025
25,135.001,0.26127,0.31647,1.01744,0.95572,0.98758,0.995,0.90247,0.54473,0.58935,0.93941,0.000847026,0.000847026,0.000847026
26,140.276,0.26264,0.29877,0.99207,0.95879,1,0.995,0.93122,0.44213,0.5778,0.85911,0.000836027,0.000836027,0.000836027
27,145.508,0.23963,0.28186,0.98549,0.95473,1,0.99027,0.94315,0.38945,0.65122,0.83815,0.000825029,0.000825029,0.000825029
28,150.746,0.23457,0.28138,0.97452,0.9583,1,0.98113,0.93574,0.3997,0.53832,0.86796,0.00081403,0.00081403,0.00081403
29,155.968,0.24324,0.27287,0.97841,0.95836,1,0.96948,0.92837,0.44238,0.66101,0.85948,0.000803031,0.000803031,0.000803031
30,161.22,0.23295,0.27709,0.96013,0.99313,0.99655,0.995,0.95202,0.41046,0.4201,0.8656,0.000792032,0.000792032,0.000792032
31,166.471,0.2244,0.27024,0.97153,0.95088,1,0.9917,0.96623,0.41035,0.48899,0.87816,0.000781033,0.000781033,0.000781033
32,171.729,0.22566,0.26927,0.96547,0.98138,1,0.995,0.95901,0.44151,0.53261,0.84698,0.000770034,0.000770034,0.000770034
33,176.954,0.22138,0.26369,0.95741,0.96476,1,0.99481,0.95101,0.39401,0.49076,0.84735,0.000759035,0.000759035,0.000759035
34,182.194,0.21668,0.23782,0.96238,0.95825,0.99186,0.995,0.91359,0.45696,0.441,0.89107,0.000748036,0.000748036,0.000748036
35,187.39,0.22517,0.25097,0.95708,0.94862,0.99555,0.995,0.92614,0.4936,0.45432,0.8672,0.000737037,0.000737037,0.000737037
36,192.708,0.21202,0.2505,0.95127,0.95412,1,0.995,0.91032,0.45565,0.36672,0.88347,0.000726038,0.000726038,0.000726038
37,198.015,0.21459,0.2498,0.94714,0.9165,0.95528,0.95526,0.87471,0.46635,0.70946,0.88329,0.00071504,0.00071504,0.00071504
38,203.279,0.21816,0.23996,0.94464,0.95822,1,0.98393,0.95558,0.38341,0.61751,0.81324,0.000704041,0.000704041,0.000704041
39,208.52,0.20134,0.22753,0.93347,0.95826,1,0.96964,0.9352,0.41686,0.57079,0.84552,0.000693042,0.000693042,0.000693042
40,213.769,0.1969,0.21808,0.94904,0.95758,1,0.9622,0.92965,0.37997,0.56631,0.81329,0.000682043,0.000682043,0.000682043
41,218.968,0.19495,0.20721,0.94615,0.95822,1,0.9552,0.92904,0.38478,0.61812,0.77168,0.000671044,0.000671044,0.000671044
42,224.232,0.19947,0.21883,0.9409,0.9575,1,0.9552,0.928,0.40709,0.58857,0.7757,0.000660045,0.000660045,0.000660045
43,229.491,0.19814,0.21425,0.95082,0.95827,1,0.9562,0.92108,0.41807,0.5466,0.78695,0.000649046,0.000649046,0.000649046
44,234.836,0.1963,0.21027,0.9316,0.95771,1,0.9562,0.91583,0.42627,0.52351,0.83064,0.000638047,0.000638047,0.000638047
45,240.121,0.19603,0.22267,0.93493,0.95847,1,0.96663,0.92457,0.39399,0.55708,0.82016,0.000627048,0.000627048,0.000627048
46,245.434,0.19733,0.22453,0.94339,0.95801,1,0.9552,0.91778,0.36494,0.53573,0.76809,0.000616049,0.000616049,0.000616049
47,250.769,0.1938,0.20881,0.94525,0.95792,1,0.9552,0.92529,0.35103,0.59578,0.79648,0.000605051,0.000605051,0.000605051
48,256.006,0.18342,0.20412,0.93284,0.95802,1,0.97151,0.92578,0.36792,0.55636,0.79709,0.000594052,0.000594052,0.000594052
49,261.237,0.18664,0.20687,0.93966,0.95853,1,0.96333,0.9001,0.40252,0.53147,0.82574,0.000583053,0.000583053,0.000583053
50,266.543,0.19315,0.20649,0.93346,0.95865,1,0.97524,0.92265,0.36992,0.54064,0.77394,0.000572054,0.000572054,0.000572054
51,271.804,0.19531,0.20994,0.93218,0.95714,1,0.9552,0.91723,0.35409,0.52572,0.76634,0.000561055,0.000561055,0.000561055
52,277.131,0.17912,0.19383,0.92903,0.95809,1,0.9552,0.92853,0.33683,0.5624,0.7639,0.000550056,0.000550056,0.000550056
53,282.415,0.17519,0.19286,0.93433,0.95821,1,0.98953,0.95669,0.42539,0.48772,0.78921,0.000539057,0.000539057,0.000539057
54,287.681,0.16727,0.18832,0.92838,0.95748,1,0.96145,0.92724,0.36576,0.56908,0.79818,0.000528058,0.000528058,0.000528058
55,293.005,0.1628,0.19377,0.92417,0.95837,1,0.961,0.9286,0.41272,0.60601,0.81354,0.000517059,0.000517059,0.000517059
56,298.346,0.16727,0.17968,0.93143,0.95833,1,0.9552,0.91881,0.36702,0.56726,0.78447,0.00050606,0.00050606,0.00050606
57,303.592,0.16223,0.17805,0.92915,0.95859,1,0.9562,0.92217,0.37357,0.55232,0.7771,0.000495062,0.000495062,0.000495062
58,308.877,0.16298,0.17438,0.92064,0.95874,1,0.96853,0.8953,0.39137,0.56143,0.82067,0.000484063,0.000484063,0.000484063
59,314.194,0.16197,0.17563,0.93127,0.95837,1,0.97172,0.93748,0.36141,0.54462,0.75439,0.000473064,0.000473064,0.000473064
60,319.633,0.16122,0.18236,0.92197,0.95856,1,0.96982,0.93127,0.37161,0.53032,0.79276,0.000462065,0.000462065,0.000462065
61,324.859,0.16353,0.18233,0.92987,0.95856,1,0.99148,0.95718,0.3698,0.51122,0.76851,0.000451066,0.000451066,0.000451066
62,330.083,0.16585,0.18844,0.91884,0.95837,1,0.9942,0.96412,0.35784,0.53603,0.7857,0.000440067,0.000440067,0.000440067
63,335.296,0.16031,0.17883,0.91624,0.95781,0.99991,0.995,0.96934,0.34013,0.565,0.74579,0.000429068,0.000429068,0.000429068
64,340.568,0.16952,0.18321,0.91807,0.95313,1,0.9552,0.92292,0.35069,0.58692,0.76834,0.000418069,0.000418069,0.000418069
65,345.776,0.1591,0.16939,0.91934,0.95844,1,0.96982,0.93213,0.35698,0.56168,0.77662,0.00040707,0.00040707,0.00040707
66,351.059,0.16386,0.17019,0.9188,0.95845,1,0.965,0.90126,0.38728,0.60799,0.77676,0.000396071,0.000396071,0.000396071
67,356.225,0.15463,0.16614,0.91766,0.9586,1,0.9562,0.92495,0.34275,0.60757,0.76521,0.000385073,0.000385073,0.000385073
68,361.441,0.15098,0.16437,0.91278,0.95857,1,0.9552,0.92356,0.35741,0.58067,0.77565,0.000374074,0.000374074,0.000374074
69,366.639,0.15028,0.17185,0.91769,0.95851,1,0.9552,0.92258,0.3865,0.59079,0.77706,0.000363075,0.000363075,0.000363075
70,372.027,0.15278,0.16286,0.92528,0.95842,1,0.9552,0.91678,0.36433,0.55753,0.78732,0.000352076,0.000352076,0.000352076
71,377.234,0.15328,0.16134,0.91925,0.95853,1,0.9552,0.91973,0.36093,0.5824,0.78486,0.000341077,0.000341077,0.000341077
72,382.467,0.14941,0.15809,0.91133,0.95866,1,0.96466,0.93484,0.37224,0.5854,0.79464,0.000330078,0.000330078,0.000330078
73,387.878,0.14128,0.15954,0.91169,0.95842,1,0.9706,0.93904,0.35691,0.57189,0.78416,0.000319079,0.000319079,0.000319079
74,393.282,0.14703,0.15822,0.91343,0.95861,1,0.98804,0.96419,0.33523,0.54926,0.7546,0.00030808,0.00030808,0.00030808
75,398.499,0.14214,0.15042,0.90831,0.95819,1,0.99353,0.95572,0.36273,0.56584,0.78966,0.000297081,0.000297081,0.000297081
76,403.756,0.14036,0.15512,0.91855,0.9586,1,0.98727,0.96421,0.34276,0.53948,0.75457,0.000286083,0.000286083,0.000286083
77,408.981,0.13785,0.14997,0.91139,0.95867,1,0.97582,0.95053,0.34916,0.56902,0.76314,0.000275084,0.000275084,0.000275084
78,414.277,0.14177,0.1469,0.91008,0.9586,1,0.98628,0.95835,0.35642,0.577,0.76224,0.000264085,0.000264085,0.000264085
79,419.591,0.13804,0.14999,0.90983,0.95878,1,0.99433,0.9739,0.33801,0.59182,0.7511,0.000253086,0.000253086,0.000253086
80,424.928,0.13405,0.14316,0.91201,0.95892,1,0.99026,0.9637,0.34437,0.57063,0.7541,0.000242087,0.000242087,0.000242087
81,430.247,0.13528,0.14606,0.90795,0.95881,1,0.98565,0.96444,0.34421,0.60118,0.74603,0.000231088,0.000231088,0.000231088
82,435.552,0.13645,0.14929,0.90852,0.95892,1,0.98774,0.96528,0.3437,0.58116,0.75705,0.000220089,0.000220089,0.000220089
83,440.77,0.13757,0.14227,0.9144,0.95858,1,0.9552,0.93138,0.34208,0.61766,0.75113,0.00020909,0.00020909,0.00020909
84,446.008,0.13408,0.14607,0.9047,0.95868,1,0.97318,0.94995,0.34773,0.5799,0.76432,0.000198091,0.000198091,0.000198091
85,451.204,0.13848,0.14627,0.91003,0.95856,1,0.9552,0.93489,0.32192,0.57164,0.74499,0.000187092,0.000187092,0.000187092
86,456.467,0.12953,0.1464,0.91565,0.95891,1,0.96467,0.93999,0.34755,0.56882,0.74851,0.000176094,0.000176094,0.000176094
87,461.709,0.13545,0.1568,0.90633,0.95837,1,0.9552,0.92849,0.34615,0.55759,0.75969,0.000165095,0.000165095,0.000165095
88,466.963,0.13279,0.14271,0.90846,0.95887,1,0.995,0.96812,0.36364,0.5739,0.76357,0.000154096,0.000154096,0.000154096
89,472.179,0.12906,0.14269,0.90438,0.9587,1,0.99075,0.96649,0.34528,0.53929,0.75882,0.000143097,0.000143097,0.000143097
90,477.42,0.1312,0.13933,0.90457,0.95875,1,0.97859,0.95523,0.34072,0.55977,0.76297,0.000132098,0.000132098,0.000132098
91,483.024,0.126,0.13908,0.91057,0.95859,1,0.98724,0.96336,0.34637,0.58042,0.76332,0.000121099,0.000121099,0.000121099
92,488.425,0.12355,0.13767,0.89812,0.95853,1,0.97389,0.95414,0.34147,0.59091,0.74548,0.0001101,0.0001101,0.0001101
93,493.73,0.12532,0.13496,0.90624,0.95858,1,0.97622,0.95342,0.35305,0.58599,0.76966,9.91012e-05,9.91012e-05,9.91012e-05
94,498.998,0.1239,0.13242,0.91385,0.95889,1,0.98936,0.96876,0.33289,0.54171,0.74715,8.81023e-05,8.81023e-05,8.81023e-05
95,504.261,0.12282,0.13095,0.90947,0.9586,1,0.99245,0.9674,0.35503,0.56729,0.76139,7.71034e-05,7.71034e-05,7.71034e-05
96,509.598,0.12533,0.13114,0.90846,0.95859,1,0.99048,0.9659,0.34427,0.5535,0.7671,6.61045e-05,6.61045e-05,6.61045e-05
97,514.909,0.1219,0.12846,0.89805,0.95858,1,0.99208,0.96768,0.36592,0.57321,0.76044,5.51056e-05,5.51056e-05,5.51056e-05
98,520.177,0.12296,0.13438,0.89553,0.95858,1,0.98741,0.9674,0.34867,0.55714,0.76204,4.41067e-05,4.41067e-05,4.41067e-05
99,525.463,0.12092,0.13081,0.90166,0.95855,1,0.98806,0.9639,0.3481,0.58244,0.75599,3.31078e-05,3.31078e-05,3.31078e-05
100,530.82,0.1151,0.12421,0.90678,0.95854,1,0.98347,0.9637,0.33434,0.56149,0.75184,2.21089e-05,2.21089e-05,2.21089e-05
