epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.28909,4.76154,3.92614,3.92671,0.01254,1,0.02833,0.01977,5.35505,3.41558,3.83867,0.000362927,0.000362927,0.000362927
2,12.8901,2.28205,3.02248,2.87037,0.00768,1,0.27676,0.20965,1.61552,2.62514,2.04125,0.000726001,0.000726001,0.000726001
3,18.2552,1.59657,2.63137,2.16961,0.05858,1,0.4197,0.37639,1.80912,2.23842,2.05201,0.00108174,0.00108174,0.00108174
4,23.6406,1.15231,2.27668,1.80213,0.22444,0.84,0.45622,0.42734,1.15368,1.99373,1.56921,0.001078,0.001078,0.001078
5,29.0068,0.85176,1.78697,1.53157,0.27687,0.95,0.459,0.40747,0.88539,1.6378,1.18203,0.001067,0.001067,0.001067
6,34.3571,0.74672,1.56744,1.43489,0.36981,0.78195,0.56188,0.30838,1.56005,1.9552,1.54405,0.00105601,0.00105601,0.00105601
7,39.6561,0.65725,1.43695,1.37292,0.43921,0.735,0.59417,0.39075,1.5108,1.61768,1.71362,0.00104501,0.00104501,0.00104501
8,45.0394,0.56032,1.2756,1.287,0.5083,0.80003,0.73232,0.55888,0.99279,1.3742,1.37961,0.00103401,0.00103401,0.00103401
9,50.3738,0.47069,1.16203,1.21636,0.46653,0.77015,0.74156,0.60324,0.93515,1.45659,1.34564,0.00102301,0.00102301,0.00102301
10,55.6928,0.40713,1.00075,1.16585,0.74367,0.9839,0.85339,0.7128,0.82216,1.07476,1.23527,0.00101201,0.00101201,0.00101201
11,60.9718,0.37606,0.89481,1.14664,0.55901,0.985,0.78062,0.69169,0.66253,1.21001,1.13917,0.00100101,0.00100101,0.00100101
12,66.2189,0.36916,0.82124,1.11931,0.66876,0.975,0.88722,0.76802,0.68094,0.87528,1.04797,0.000990012,0.000990012,0.000990012
13,71.5528,0.32642,0.7555,1.10474,0.71036,0.9786,0.8884,0.73455,0.81099,0.8902,1.10857,0.000979013,0.000979013,0.000979013
14,76.8082,0.31988,0.74022,1.08351,0.73609,0.86708,0.89264,0.83532,0.50578,0.69209,0.9001,0.000968014,0.000968014,0.000968014
15,82.1219,0.31857,0.67664,1.06814,0.63318,0.75964,0.84572,0.76221,0.52703,1.02202,0.97274,0.000957015,0.000957015,0.000957015
16,87.4819,0.32731,0.6486,1.06998,0.718,0.86907,0.91015,0.82229,0.57557,0.87861,0.97279,0.000946016,0.000946016,0.000946016
17,92.7097,0.32858,0.5939,1.06133,0.79845,0.75659,0.88106,0.78538,0.57089,1.10073,1.01492,0.000935018,0.000935018,0.000935018
18,97.933,0.3153,0.54877,1.05168,0.89827,0.77538,0.84912,0.80445,0.57987,1.02542,0.9842,0.000924019,0.000924019,0.000924019
19,103.18,0.29404,0.46564,1.03825,0.7931,0.96212,0.94488,0.90591,0.51558,0.85975,0.96566,0.00091302,0.00091302,0.00091302
20,108.527,0.28141,0.39653,1.02732,0.96901,1,0.995,0.92159,0.54062,0.64055,0.99744,0.000902021,0.000902021,0.000902021
21,113.84,0.28354,0.36208,1.02777,0.93568,0.97616,0.995,0.95297,0.50691,0.70964,0.95888,0.000891022,0.000891022,0.000891022
